game_id,player_id,column,result
0,325,2,
0,1564,2,
0,325,1,
0,1564,4,
0,325,2,
0,1564,2,
0,325,1,
0,1564,3,
0,325,1,
0,1564,1,
0,325,4,
0,1564,3,
0,325,3,
0,1564,3,
0,325,4,win
1,2827,4,
1,2484,1,
1,2827,3,
1,2484,3,
1,2827,2,
1,2484,3,
1,2827,2,
1,2484,4,
1,2827,4,
1,2484,2,
1,2827,4,
1,2484,1,
1,2827,2,
1,2484,3,
1,2827,1,
1,2484,1,draw
2,1542,2,
2,1920,3,
2,1542,3,
2,1920,4,
2,1542,4,
2,1920,2,
2,1542,4,
2,1920,1,
2,1542,3,
2,1920,3,
2,1542,1,
2,1920,2,
2,1542,2,
2,1920,1,
2,1542,1,
2,1920,4,draw
3,1158,1,
3,2758,2,
3,1158,2,
3,2758,3,
3,1158,4,
3,2758,4,
3,1158,4,
3,2758,3,
3,1158,2,
3,2758,3,
3,1158,3,
3,2758,1,
3,1158,2,
3,2758,1,
3,1158,4,
3,2758,1,draw
4,1119,4,
4,83,1,
4,1119,2,
4,83,4,
4,1119,3,
4,83,2,
4,1119,1,
4,83,3,
4,1119,4,
4,83,2,
4,1119,1,
4,83,3,
4,1119,1,
4,83,2,
4,1119,3,
4,83,4,win
5,223,3,
5,3193,2,
5,223,1,
5,3193,4,
5,223,3,
5,3193,4,
5,223,1,
5,3193,2,
5,223,1,
5,3193,3,
5,223,3,
5,3193,1,
5,223,2,
5,3193,4,
5,223,2,
5,3193,4,win
6,1229,2,
6,2022,1,
6,1229,4,
6,2022,3,
6,1229,3,
6,2022,3,
6,1229,3,
6,2022,2,
6,1229,2,
6,2022,2,
6,1229,1,
6,2022,4,
6,1229,4,
6,2022,4,win
7,1263,2,
7,559,1,
7,1263,4,
7,559,3,
7,1263,1,
7,559,1,
7,1263,4,
7,559,4,
7,1263,1,
7,559,3,
7,1263,2,
7,559,2,
7,1263,4,
7,559,3,win
8,42,4,
8,2288,3,
8,42,1,
8,2288,4,
8,42,1,
8,2288,3,
8,42,4,
8,2288,2,
8,42,3,
8,2288,1,
8,42,2,
8,2288,2,
8,42,4,win
9,687,1,
9,2912,2,
9,687,1,
9,2912,1,
9,687,2,
9,2912,3,
9,687,2,
9,2912,1,
9,687,3,
9,2912,3,
9,687,4,
9,2912,2,
9,687,4,win
10,3564,2,
10,2187,3,
10,3564,2,
10,2187,3,
10,3564,3,
10,2187,3,
10,3564,4,
10,2187,4,
10,3564,2,
10,2187,2,
10,3564,4,
10,2187,1,
10,3564,4,
10,2187,1,
10,3564,1,win
11,1990,2,
11,3368,3,
11,1990,4,
11,3368,3,
11,1990,1,
11,3368,4,
11,1990,2,
11,3368,2,
11,1990,1,
11,3368,1,
11,1990,4,
11,3368,2,
11,1990,3,
11,3368,4,
11,1990,3,
11,3368,1,draw
12,3971,3,
12,2783,4,
12,3971,2,
12,2783,3,
12,3971,1,
12,2783,4,
12,3971,4,
12,2783,2,
12,3971,3,
12,2783,3,
12,3971,4,
12,2783,2,
12,3971,2,
12,2783,1,win
13,1260,2,
13,4450,3,
13,1260,4,
13,4450,1,
13,1260,1,
13,4450,1,
13,1260,1,
13,4450,2,
13,1260,3,
13,4450,2,
13,1260,2,
13,4450,3,
13,1260,3,
13,4450,4,
13,1260,4,
13,4450,4,win
14,258,2,
14,2478,3,
14,258,3,
14,2478,1,
14,258,4,
14,2478,1,
14,258,3,
14,2478,3,
14,258,2,
14,2478,4,
14,258,2,
14,2478,2,
14,258,4,
14,2478,1,
14,258,1,win
15,516,4,
15,4283,1,
15,516,3,
15,4283,1,
15,516,2,
15,4283,3,
15,516,2,
15,4283,4,
15,516,3,
15,4283,4,
15,516,2,
15,4283,3,
15,516,1,
15,4283,4,
15,516,2,win
16,4135,4,
16,4467,2,
16,4135,2,
16,4467,4,
16,4135,3,
16,4467,4,
16,4135,4,
16,4467,2,
16,4135,3,
16,4467,3,
16,4135,1,
16,4467,1,
16,4135,1,
16,4467,1,
16,4135,3,
16,4467,2,draw
17,2049,4,
17,4848,4,
17,2049,1,
17,4848,4,
17,2049,4,
17,4848,3,
17,2049,1,
17,4848,3,
17,2049,2,
17,4848,1,
17,2049,1,
17,4848,2,
17,2049,2,
17,4848,2,
17,2049,3,
17,4848,3,draw
18,1475,4,
18,1942,3,
18,1475,1,
18,1942,3,
18,1475,2,
18,1942,1,
18,1475,4,
18,1942,3,
18,1475,3,
18,1942,1,
18,1475,1,
18,1942,4,
18,1475,2,
18,1942,4,
18,1475,2,
18,1942,2,draw
19,2860,3,
19,4102,1,
19,2860,1,
19,4102,3,
19,2860,4,
19,4102,2,
19,2860,1,
19,4102,4,
19,2860,2,
19,4102,1,
19,2860,2,
19,4102,3,
19,2860,3,
19,4102,2,
19,2860,4,
19,4102,4,draw
20,1679,2,
20,4983,4,
20,1679,1,
20,4983,1,
20,1679,1,
20,4983,3,
20,1679,3,
20,4983,2,
20,1679,4,
20,4983,2,
20,1679,4,
20,4983,2,
20,1679,1,
20,4983,4,
20,1679,3,
20,4983,3,draw
21,789,1,
21,4553,1,
21,789,3,
21,4553,3,
21,789,3,
21,4553,3,
21,789,4,
21,4553,1,
21,789,2,win
22,69,1,
22,3153,1,
22,69,1,
22,3153,2,
22,69,2,
22,3153,3,
22,69,2,
22,3153,3,
22,69,2,
22,3153,1,
22,69,3,
22,3153,3,
22,69,4,
22,3153,4,
22,69,4,win
23,1652,4,
23,4785,2,
23,1652,2,
23,4785,4,
23,1652,4,
23,4785,4,
23,1652,3,
23,4785,2,
23,1652,2,
23,4785,3,
23,1652,1,
23,4785,1,
23,1652,1,
23,4785,1,
23,1652,3,
23,4785,3,draw
24,1977,1,
24,1052,3,
24,1977,2,
24,1052,1,
24,1977,1,
24,1052,3,
24,1977,2,
24,1052,2,
24,1977,1,
24,1052,4,
24,1977,3,
24,1052,2,
24,1977,4,
24,1052,3,
24,1977,4,
24,1052,4,draw
25,4222,1,
25,3926,3,
25,4222,3,
25,3926,1,
25,4222,3,
25,3926,3,
25,4222,4,
25,3926,2,
25,4222,1,
